Concurrent task count,Total Fibonacci size,New task start time (relative),Total latency (excluding new task),New task latency,New task Fibonacci size,New task FLOPs,CPU frequency (GHz),Avg task start time,Avg task operations (GFLOPs)
5,144,0.6373,11.2362,1.3251,28,0.5142,1.3021,0.1008,2.4476
5,143,0.8232,9.6229,3.53,31,2.1783,1.3135,0.2133,1.077
5,134,0.3399,3.6267,3.4669,34,9.2275,1.2844,0.0891,0.3571
5,140,0.4228,6.9857,2.6853,30,1.3463,1.3115,0.1247,0.6656
5,159,0.6797,53.0337,4.1332,30,1.3463,1.2594,0.2132,5.6
5,152,0.3873,34.6882,10.8575,33,5.7029,1.2865,0.1447,5.1251
5,164,0.2839,75.362,2.4811,27,0.3178,1.2583,0.103,6.9463
5,153,0.5195,69.2593,31.9406,35,14.9304,1.2729,0.1622,6.0357
5,145,0.6261,11.4025,1.222,27,0.3178,1.287,0.181,2.369
5,151,0.7511,27.0592,16.6285,35,14.9304,1.2917,0.1791,2.7804
5,147,0.2487,18.2057,2.8609,29,0.832,1.2146,0.0892,1.6005
5,147,0.3733,20.5416,9.9252,33,5.7029,1.2808,0.1077,2.5111
5,161,0.8651,98.1548,16.3835,33,5.7029,1.2885,0.2528,7.8569
5,157,0.554,74.7842,10.0938,32,3.5246,1.2583,0.1772,6.8677
5,138,0.3642,6.0155,2.1359,31,2.1783,1.225,0.1014,0.4992
5,146,0.2296,20.2272,8.1004,32,3.5246,1.274,0.087,3.7395
5,145,0.3843,17.7301,10.7062,34,9.2275,1.3115,0.1353,1.6791
5,154,0.6977,56.4097,16.9979,33,5.7029,1.2677,0.1275,6.06
5,157,0.7185,49.0021,8.9303,32,3.5246,1.2573,0.1002,4.4987
5,145,0.378,9.6883,4.1624,31,2.1783,1.3115,0.1432,1.4098
5,141,0.5337,9.8084,5.5424,32,3.5246,1.2614,0.1584,1.5277
5,148,0.2985,18.917,1.1731,26,0.1964,1.3167,0.0865,1.6005
5,159,0.6462,60.1724,3.3384,29,0.832,1.3177,0.1357,6.4471
5,140,0.7693,9.1609,5.2695,32,3.5246,1.3052,0.187,1.3948
5,138,0.3127,7.3239,3.6822,33,5.7029,1.3385,0.0748,0.5871
5,157,0.233,64.5422,1.3466,27,0.3178,1.2885,0.1018,7.2398
5,156,0.3238,40.7256,1.8524,27,0.3178,1.2677,0.0761,4.3323
5,148,0.3311,18.7438,4.9726,31,2.1783,1.2302,0.1105,3.6124
5,155,0.3599,56.139,22.3375,35,14.9304,1.2844,0.0996,4.1509
5,137,0.3829,4.6668,1.2611,28,0.5142,1.2604,0.1152,0.9106
5,154,0.3894,44.474,14.3983,34,9.2275,1.3313,0.1327,6.305
5,144,0.2976,11.182,3.0355,30,1.3463,1.3125,0.0881,2.4233
5,150,0.5045,28.7789,15.4509,34,9.2275,1.2563,0.1087,2.6533
5,141,0.4478,7.3272,0.3982,25,0.1214,1.2542,0.1318,0.7049
5,161,0.8313,63.0187,2.5896,29,0.832,1.2844,0.1606,6.3442
5,152,0.7257,31.2342,4.3426,30,1.3463,1.3125,0.1948,4.6894
5,151,0.5262,24.1263,4.3264,30,1.3463,1.2833,0.1995,2.0755
5,156,0.3857,32.608,5.505,30,1.3463,1.2844,0.1062,4.2931
5,162,0.3907,122.5125,39.9146,35,14.9304,1.3692,0.1516,8.2926
5,152,0.7223,33.1174,14.3339,35,14.9304,1.2844,0.1445,2.4868
5,152,0.5872,37.3719,1.0113,27,0.3178,1.3,0.1199,5.3551
5,155,0.7193,46.9692,18.6377,34,9.2275,1.3031,0.1041,3.5881
5,153,0.557,35.2804,8.1004,31,2.1783,1.2594,0.1862,3.8181
5,145,0.5945,11.0887,0.51,26,0.1964,1.2598,0.117,1.4341
5,152,0.3507,42.6834,15.314,33,5.7029,1.2594,0.1013,5.3458
5,145,0.563,12.5635,2.9601,30,1.3463,1.2698,0.118,3.3824
5,152,0.2799,36.2586,7.7088,32,3.5246,1.2844,0.1102,3.6124
5,136,0.3187,4.6573,1.4477,30,1.3463,1.3021,0.0965,0.3721
5,151,0.3906,30.8751,0.7913,27,0.3178,1.2958,0.1134,3.0889
5,156,0.3925,51.0974,7.0284,31,2.1783,1.2552,0.1084,5.7422
5,140,0.7291,6.8098,0.9076,28,0.5142,1.2302,0.1652,1.0377
5,147,0.7225,17.6672,2.4338,29,0.832,1.2583,0.1692,1.1406
5,170,0.4868,142.8932,0.7264,26,0.1964,1.2833,0.1283,10.0988
5,144,1.1019,10.3626,0.6892,25,0.1214,1.2729,0.127,0.9349
5,139,0.2319,6.9328,0.8817,28,0.5142,1.275,0.0795,3.2253
5,150,0.2366,14.4615,0.436,25,0.1214,1.275,0.071,2.5504
5,150,0.3727,29.0079,0.8972,28,0.5142,1.2198,0.0745,3.5096
5,143,0.5443,11.3904,6.5258,33,5.7029,1.2833,0.1382,1.1799
5,151,0.4484,32.8034,12.3775,33,5.7029,1.244,0.1503,2.3447
5,147,0.6293,21.7057,1.8614,29,0.832,1.2604,0.0977,4.278
5,157,1.2814,52.7834,21.2618,35,14.9304,1.2833,0.2433,4.0238
5,146,0.6001,15.9059,6.6749,32,3.5246,1.251,0.1173,1.4341
5,154,0.3766,34.719,12.8515,33,5.7029,1.2448,0.1125,4.5623
5,134,0.3761,3.5342,1.3216,29,0.832,1.224,0.08,0.6113
5,150,0.4615,33.4341,9.0135,32,3.5246,1.201,0.1151,3.5096
5,154,0.3496,30.183,4.7731,30,1.3463,1.2302,0.132,4.4352
5,146,0.2769,19.5342,4.68,31,2.1783,1.2083,0.1342,1.9333
5,139,0.2707,7.4072,0.5274,26,0.1964,1.2438,0.1044,0.7535
5,154,0.6458,56.1824,20.4673,34,9.2275,1.2573,0.2363,5.6636
5,150,0.5707,21.0383,0.6677,25,0.1214,1.2011,0.1197,3.0889
5,161,0.4173,86.3347,26.0353,34,9.2275,1.2302,0.1466,6.7406
5,148,0.3193,35.0762,18.3878,34,9.2275,1.3677,0.0789,4.3173
5,158,0.422,51.0077,8.5687,31,2.1783,1.2604,0.103,4.0631
5,150,0.6357,21.6049,4.2222,30,1.3463,1.2896,0.1032,1.9091
5,159,0.5258,46.3284,3.8134,28,0.5142,1.2031,0.1006,5.1644
5,141,0.3934,7.2289,0.7428,25,0.1214,1.2302,0.0881,0.6806
5,147,0.9849,14.8938,8.8448,35,14.9304,1.2865,0.1231,1.3705
5,156,0.4954,65.0943,0.9489,27,0.3178,1.2458,0.1239,6.8042
5,155,0.2474,54.0707,2.1528,29,0.832,1.2302,0.1099,6.0993
5,150,0.3857,29.2486,9.3315,33,5.7029,1.2979,0.1208,1.8848
5,148,0.3967,24.6523,15.1589,34,9.2275,1.3018,0.12,2.5261
5,141,0.5133,9.773,5.4576,34,9.2275,1.2417,0.0713,0.8078
5,147,0.2933,15.7203,5.8615,31,2.1783,1.2979,0.1051,1.8698
