Concurrent task count,Total Fibonacci size,New task start time (relative),Total latency (excluding new task),New task latency,New task Fibonacci size,New task FLOPs,CPU frequency (GHz),Task start times,Task operations (FLOPs)
8,254,0.5951,114.9442,0.5785,25,0.1214,1.4813,"[0.0003, 0.0242, 0.0468, 0.0977, 0.1385, 0.2555, 0.3722, 0.4088]","[14.9304, 0.3178, 3.5246, 14.9304, 14.9304, 0.3178, 9.2275, 0.832]"
8,247,0.9241,92.9212,13.8749,32,3.5246,1.4244,"[0.0003, 0.0341, 0.0799, 0.1866, 0.2782, 0.3343, 0.3751, 0.7889]","[14.9304, 1.3463, 3.5246, 3.5246, 3.5246, 0.1214, 5.7029, 0.5142]"
8,236,0.6193,52.354,12.4985,33,5.7029,1.4129,"[0.0003, 0.0371, 0.0886, 0.1249, 0.2076, 0.236, 0.2821, 0.4864]","[0.1214, 2.1783, 5.7029, 0.1964, 0.832, 1.3463, 0.5142, 9.2275]"
8,225,0.9161,18.7435,5.5059,32,3.5246,1.4311,"[0.0002, 0.0392, 0.0801, 0.1565, 0.238, 0.3293, 0.5178, 0.7107]","[0.1214, 0.5142, 0.5142, 0.3178, 2.1783, 0.1214, 14.9304, 0.1964]"
8,246,1.981,89.7725,3.0475,29,0.832,1.4108,"[0.0003, 0.0392, 0.0696, 0.1052, 0.1917, 0.4256, 1.3722, 1.656]","[0.832, 14.9304, 0.5142, 14.9304, 2.1783, 0.5142, 5.7029, 0.3178]"
8,242,0.7868,51.7547,0.67,26,0.1964,1.4157,"[0.0002, 0.0486, 0.1197, 0.1706, 0.2317, 0.4759, 0.6442, 0.7409]","[5.7029, 9.2275, 0.832, 0.1964, 0.832, 1.3463, 1.3463, 2.1783]"
8,236,0.9415,47.0901,8.6683,32,3.5246,1.317,"[0.0003, 0.046, 0.0919, 0.1879, 0.3051, 0.5596, 0.6464, 0.8093]","[3.5246, 0.1214, 1.3463, 3.5246, 2.1783, 0.3178, 5.7029, 0.1964]"
8,244,1.1915,78.5003,5.312,30,1.3463,1.4962,"[0.0003, 0.0245, 0.0856, 0.172, 0.3571, 0.6364, 0.907, 1.0801]","[9.2275, 0.1964, 0.832, 9.2275, 9.2275, 3.5246, 0.3178, 0.5142]"
8,243,0.8394,63.7656,16.5286,33,5.7029,1.5133,"[0.0002, 0.037, 0.0726, 0.3079, 0.339, 0.5053, 0.5679, 0.6186]","[0.3178, 14.9304, 0.1964, 3.5246, 0.832, 5.7029, 5.7029, 0.5142]"
8,230,0.503,40.5524,9.474,32,3.5246,1.421,"[0.0002, 0.0404, 0.0919, 0.1379, 0.2043, 0.2455, 0.332, 0.4]","[0.1964, 0.1214, 0.3178, 0.832, 9.2275, 0.1214, 14.9304, 0.832]"
8,242,0.7206,68.7807,6.8736,31,2.1783,1.2766,"[0.0003, 0.022, 0.1084, 0.1417, 0.1591, 0.2585, 0.4312, 0.6477]","[0.832, 1.3463, 0.832, 14.9304, 0.1214, 0.832, 14.9304, 1.3463]"
8,244,0.7104,84.3558,5.9964,30,1.3463,1.3179,"[0.0002, 0.0323, 0.1135, 0.1871, 0.2281, 0.3305, 0.438, 0.6434]","[0.832, 0.1214, 0.3178, 2.1783, 14.9304, 9.2275, 0.5142, 14.9304]"
8,249,0.9331,90.5285,10.6195,31,2.1783,1.3261,"[0.0003, 0.024, 0.0901, 0.1867, 0.2377, 0.4714, 0.6188, 0.7862]","[3.5246, 0.5142, 2.1783, 5.7029, 9.2275, 0.832, 0.832, 5.7029]"
8,241,0.4767,72.7303,0.5186,26,0.1964,1.351,"[0.0002, 0.0293, 0.0781, 0.1366, 0.153, 0.2561, 0.4049, 0.4232]","[0.1214, 0.1964, 3.5246, 14.9304, 3.5246, 1.3463, 0.3178, 9.2275]"
8,228,1.4109,36.906,17.7971,35,14.9304,1.4564,"[0.0003, 0.0172, 0.0529, 0.144, 0.3124, 0.4142, 0.5158, 1.3501]","[1.3463, 2.1783, 0.1214, 0.3178, 14.9304, 0.832, 0.1964, 0.1214]"
8,233,0.9862,30.5254,8.3523,33,5.7029,1.5364,"[0.0003, 0.0229, 0.0585, 0.1049, 0.1771, 0.2083, 0.3709, 0.4015]","[0.1964, 1.3463, 1.3463, 0.832, 0.3178, 1.3463, 3.5246, 0.832]"
8,240,1.0773,94.4202,1.8512,28,0.5142,1.4344,"[0.0003, 0.0367, 0.0927, 0.1537, 0.4829, 0.6002, 0.6513, 0.7985]","[1.3463, 9.2275, 1.3463, 14.9304, 0.1214, 14.9304, 0.1964, 0.1214]"
8,235,1.2785,30.2125,4.503,30,1.3463,1.4331,"[0.0003, 0.0402, 0.0606, 0.1902, 0.6326, 0.756, 0.8883, 1.2165]","[0.832, 1.3463, 1.3463, 0.1214, 0.5142, 14.9304, 0.1964, 3.5246]"
8,240,0.743,60.7598,16.7215,34,9.2275,1.4602,"[0.0003, 0.0309, 0.0628, 0.139, 0.1849, 0.383, 0.5099, 0.6321]","[5.7029, 0.5142, 0.5142, 1.3463, 2.1783, 5.7029, 2.1783, 0.1964]"
8,240,0.9172,58.935,0.4781,28,0.5142,1.3951,"[0.0003, 0.0384, 0.0639, 0.1249, 0.1735, 0.3792, 0.4616, 0.7921]","[0.1964, 0.3178, 1.3463, 14.9304, 1.3463, 0.5142, 0.832, 14.9304]"
8,247,0.695,84.5606,23.0004,35,14.9304,1.3178,"[0.0003, 0.0199, 0.0658, 0.1319, 0.2741, 0.3604, 0.5888, 0.6343]","[0.3178, 1.3463, 9.2275, 0.3178, 1.3463, 2.1783, 14.9304, 5.7029]"
8,223,1.075,19.4105,2.039,28,0.5142,1.4792,"[0.0003, 0.0436, 0.0894, 0.5369, 0.6029, 0.6945, 0.7404, 0.9228]","[3.5246, 3.5246, 0.5142, 0.1214, 0.3178, 0.1214, 0.1214, 0.832]"
8,235,1.1948,30.5935,8.115,32,3.5246,1.4966,"[0.0003, 0.0516, 0.0986, 0.1799, 0.2613, 0.3629, 0.9271, 1.0681]","[0.5142, 3.5246, 2.1783, 0.3178, 0.3178, 1.3463, 3.5246, 0.5142]"
8,223,0.5932,13.3912,2.1344,31,2.1783,1.5344,"[0.0003, 0.0311, 0.1074, 0.1633, 0.2703, 0.361, 0.3918, 0.4341]","[0.3178, 0.1964, 0.1214, 1.3463, 5.7029, 0.3178, 0.5142, 0.3178]"
8,242,0.8521,65.8926,17.4931,33,5.7029,1.4772,"[0.0003, 0.0231, 0.0394, 0.0852, 0.263, 0.3646, 0.5581, 0.7002]","[2.1783, 3.5246, 1.3463, 14.9304, 0.3178, 5.7029, 0.1214, 0.832]"
8,253,0.71,102.9226,5.4896,31,2.1783,1.4557,"[0.0002, 0.0241, 0.075, 0.1106, 0.2175, 0.2502, 0.4107, 0.5274]","[1.3463, 0.5142, 5.7029, 9.2275, 0.832, 9.2275, 3.5246, 5.7029]"
8,246,0.5379,84.1404,1.8985,25,0.1214,1.471,"[0.0002, 0.0224, 0.0885, 0.1547, 0.1955, 0.2586, 0.3349, 0.4012]","[5.7029, 1.3463, 5.7029, 2.1783, 2.1783, 3.5246, 0.1214, 2.1783]"
8,242,0.6392,74.037,20.9268,34,9.2275,1.4875,"[0.0002, 0.041, 0.0867, 0.1274, 0.1783, 0.3056, 0.3529, 0.4247]","[0.3178, 5.7029, 9.2275, 9.2275, 0.3178, 3.5246, 0.1214, 1.3463]"
8,241,1.2228,45.799,8.3904,31,2.1783,1.373,"[0.0003, 0.0331, 0.0751, 0.1666, 0.2326, 0.3039, 0.5395, 0.7758]","[2.1783, 14.9304, 5.7029, 0.5142, 0.1964, 0.832, 1.3463, 0.832]"
8,237,0.9709,41.382,4.8786,30,1.3463,1.3194,"[0.0003, 0.0441, 0.0899, 0.1498, 0.3206, 0.5135, 0.7375, 0.905]","[2.1783, 0.5142, 0.5142, 0.1214, 1.3463, 9.2275, 1.3463, 2.1783]"
8,241,0.9804,56.4225,0.4056,26,0.1964,1.351,"[0.0002, 0.032, 0.0829, 0.154, 0.2874, 0.5364, 0.6429, 0.7495]","[3.5246, 2.1783, 0.1214, 1.3463, 2.1783, 9.2275, 0.3178, 2.1783]"
8,241,0.9932,94.3385,12.8755,32,3.5246,1.4824,"[0.0002, 0.0453, 0.074, 0.2088, 0.2496, 0.2914, 0.3836, 0.5105]","[0.1964, 14.9304, 5.7029, 14.9304, 3.5246, 0.3178, 0.1964, 0.3178]"
8,241,0.9752,91.3187,31.8711,35,14.9304,1.4334,"[0.0003, 0.0496, 0.1309, 0.197, 0.2327, 0.4616, 0.7059, 0.7762]","[1.3463, 0.3178, 0.1214, 5.7029, 2.1783, 14.9304, 0.1214, 14.9304]"
8,236,0.7358,45.0132,14.2725,33,5.7029,1.42,"[0.0003, 0.0521, 0.0776, 0.1234, 0.1947, 0.2709, 0.592, 0.6698]","[2.1783, 0.3178, 0.1964, 0.832, 0.5142, 0.832, 5.7029, 5.7029]"
