Concurrent task count,Total task size (MB),New task start time (relative),Total latency (excluding new task),New task latency,New task size (MB),New task FLOPs (GFLOPs),CPU frequency (GHz),Average Task Start Time,Average Task Operations (FLOPs)
1,57.8413,0.1817,2.5842,2.7834,61.4555,106.86,1.7101,0.1566,106.86
1,61.4555,0.2941,2.6435,3.0581,62.6262,131.52,1.688,0.158,106.86
1,60.5415,0.1116,2.3555,1.433,26.1889,73.98,1.8072,0.1193,123.3
1,60.5415,0.1629,2.4564,1.2232,16.2015,41.1,1.9045,0.0916,123.3
1,6.8019,0.2204,0.622,2.3766,62.6262,131.52,1.686,0.0498,82.2
1,35.3044,0.2317,1.7021,1.2929,26.1889,73.98,1.8896,0.1728,312.36
1,35.3044,0.2052,1.8782,2.3077,57.8413,106.86,1.525,0.1017,312.36
1,35.3044,0.2211,1.796,0.9682,6.8019,82.2,2.0167,0.0782,312.36
1,61.4555,0.2527,2.247,1.1628,16.2015,41.1,1.8771,0.1441,106.86
1,35.3044,0.2354,1.4158,0.8384,11.7294,106.86,1.8399,0.0827,312.36
1,26.1889,0.2032,1.3122,1.4368,26.1889,73.98,1.7793,0.0125,73.98
1,26.1889,0.2726,1.1896,0.9894,6.8019,82.2,1.9908,0.0864,73.98
1,61.4555,0.2668,2.3586,1.5225,26.1889,73.98,1.9444,0.1334,106.86
1,6.8019,0.2119,0.732,1.6301,35.3044,312.36,1.6906,0.1979,82.2
1,6.8019,0.1212,0.5791,0.7795,11.7294,106.86,1.9449,0.1823,82.2
1,62.6262,0.2187,2.8512,2.6752,57.8413,106.86,1.4281,0.1875,131.52
1,35.3044,0.2563,1.7832,2.3513,61.4555,106.86,1.6356,0.093,312.36
1,60.5415,0.2957,2.1443,1.2075,11.7294,106.86,2.1169,0.1166,123.3
1,62.6262,0.339,2.2236,0.8421,6.8019,82.2,1.938,0.1194,131.52
1,62.6262,0.1519,2.2699,2.0793,35.3044,312.36,1.7117,0.1976,131.52
1,11.7294,0.1985,0.7488,0.8227,11.7294,106.86,1.8343,0.1364,106.86
1,60.5415,0.2273,2.2819,2.0649,35.3044,312.36,1.9372,0.0595,123.3
1,60.5415,0.3382,2.4052,1.6471,26.1889,73.98,1.9729,0.1213,123.3
1,35.3044,0.1741,1.8236,2.3388,61.4555,106.86,1.6291,0.0338,312.36
1,11.7294,0.2152,0.7057,1.6351,35.3044,312.36,1.9688,0.1773,106.86
1,62.6262,0.1669,2.4849,1.4953,26.1889,73.98,1.9302,0.1203,131.52
1,57.8413,0.1257,2.3609,1.2691,16.2015,41.1,1.9124,0.0685,106.86
1,62.6262,0.1199,2.4941,1.5157,26.1889,73.98,1.9542,0.017,131.52
1,16.2015,0.1206,0.792,0.6948,6.8019,82.2,1.9723,0.1718,41.1
1,61.4555,0.1595,2.1981,2.0238,35.3044,312.36,1.8823,0.0217,106.86
1,16.2015,0.1948,1.1073,2.836,62.6262,131.52,1.6855,0.0939,41.1
1,26.1889,0.2057,1.2117,1.7421,35.3044,312.36,1.7733,0.0596,73.98
1,16.2015,0.2809,0.902,0.9721,11.7294,106.86,1.8528,0.0245,41.1
1,26.1889,0.1549,1.2106,0.8864,6.8019,82.2,2.0364,0.0591,73.98
1,62.6262,0.2985,2.2645,2.3476,35.3044,312.36,1.831,0.1042,131.52
1,62.6262,0.1208,2.7202,2.7083,57.8413,106.86,1.8767,0.0228,131.52
1,60.5415,0.1346,2.9099,2.9005,61.4555,106.86,1.8425,0.0135,123.3
1,35.3044,0.2158,1.3953,0.7081,6.8019,82.2,2.0522,0.1988,312.36
1,16.2015,0.204,0.8194,0.8981,11.7294,106.86,1.892,0.0823,41.1
1,61.4555,0.2393,2.2675,1.1161,16.2015,41.1,1.9011,0.1441,106.86
1,62.6262,0.2934,2.7487,2.946,60.5415,123.3,1.903,0.0896,131.52
1,6.8019,0.1706,0.5586,0.6809,6.8019,82.2,1.8472,0.2006,82.2
1,62.6262,0.1647,2.3342,1.932,35.3044,312.36,1.968,0.0581,131.52
1,26.1889,0.1518,1.4089,2.4963,61.4555,106.86,1.5594,0.1526,73.98
1,16.2015,0.1353,0.8602,2.4621,62.6262,131.52,1.7286,0.0821,41.1
1,6.8019,0.1796,0.5944,2.259,60.5415,123.3,1.6924,0.137,82.2
1,60.5415,0.165,2.8056,2.9458,62.6262,131.52,1.7311,0.1475,123.3
1,62.6262,0.1823,2.2486,1.9806,35.3044,312.36,1.8331,0.1743,131.52
1,60.5415,0.2578,2.2878,1.0707,16.2015,41.1,1.8637,0.0854,123.3
1,26.1889,0.2176,1.3563,2.5622,62.6262,131.52,1.7357,0.067,73.98
1,61.4555,0.2326,2.9285,2.9409,60.5415,123.3,1.7635,0.1591,106.86
1,61.4555,0.2193,2.3366,2.4633,35.3044,312.36,1.7406,0.0702,106.86
1,26.1889,0.1954,1.2518,1.0771,16.2015,41.1,2.0916,0.1867,73.98
1,57.8413,0.1104,2.8025,2.8092,62.6262,131.52,1.8177,0.0933,106.86
1,35.3044,0.1474,1.8783,2.3125,57.8413,106.86,1.7385,0.0558,312.36
1,6.8019,0.2673,0.633,2.4754,60.5415,123.3,1.774,0.0371,82.2
1,16.2015,0.3612,0.8745,1.4216,26.1889,73.98,1.8906,0.1143,41.1
1,26.1889,0.2958,1.2603,2.7414,62.6262,131.52,1.874,0.1015,73.98
1,35.3044,0.1583,1.5281,1.6423,35.3044,312.36,1.8729,0.1945,312.36
1,6.8019,0.136,0.5776,0.6763,6.8019,82.2,1.8642,0.0724,82.2
1,16.2015,0.1835,1.0925,2.6018,61.4555,106.86,1.7985,0.1824,41.1
1,35.3044,0.2826,1.9744,1.5241,26.1889,73.98,1.9757,0.1345,312.36
1,57.8413,0.2311,2.406,2.7113,60.5415,123.3,1.8062,0.1842,106.86
1,35.3044,0.2265,2.2568,2.5274,62.6262,131.52,1.6928,0.1113,312.36
1,61.4555,0.2719,2.1402,2.0317,35.3044,312.36,1.7573,0.0582,106.86
1,35.3044,0.1244,1.6578,1.052,16.2015,41.1,1.9579,0.1232,312.36
1,16.2015,0.176,0.9662,1.1265,16.2015,41.1,1.7724,0.081,41.1
1,61.4555,0.1996,2.314,1.0909,16.2015,41.1,1.9427,0.1573,106.86
1,62.6262,0.1478,2.4894,1.5086,26.1889,73.98,1.9682,0.1085,131.52
1,6.8019,0.1276,0.6207,2.2948,61.4555,106.86,1.5971,0.1915,82.2
1,61.4555,0.2797,2.5438,1.7739,26.1889,73.98,1.851,0.1137,106.86
1,26.1889,0.2522,1.1832,0.8229,6.8019,82.2,2.1009,0.0795,73.98
1,62.6262,0.2581,2.2143,0.8005,6.8019,82.2,1.9856,0.1781,131.52
1,16.2015,0.219,0.8524,1.0067,16.2015,41.1,1.8995,0.1107,41.1
1,26.1889,0.1274,1.1853,1.7635,35.3044,312.36,1.8081,0.0502,73.98
1,60.5415,0.1454,2.2858,1.1128,11.7294,106.86,1.9308,0.1251,123.3
1,61.4555,0.1336,2.18,2.0089,35.3044,312.36,1.5802,0.0651,106.86
1,61.4555,0.2878,2.3195,1.4966,26.1889,73.98,1.9737,0.0606,106.86
1,26.1889,0.1956,1.1975,1.74,35.3044,312.36,1.9336,0.2005,73.98
1,16.2015,0.195,0.7972,0.9007,11.7294,106.86,1.8448,0.0201,41.1
1,11.7294,0.234,0.8999,0.9445,6.8019,82.2,1.9287,0.0989,106.86
1,26.1889,0.297,1.1333,1.1375,11.7294,106.86,1.9761,0.1192,73.98
1,57.8413,0.1903,2.5462,2.7617,61.4555,106.86,1.6147,0.1134,106.86
1,11.7294,0.2637,0.7275,0.9236,16.2015,41.1,1.9035,0.1532,106.86
1,11.7294,0.1484,0.7272,0.9328,16.2015,41.1,1.5708,0.1921,106.86
1,35.3044,0.2928,1.9085,2.8259,62.6262,131.52,1.8264,0.1161,312.36
1,16.2015,0.1297,0.8556,1.0239,16.2015,41.1,1.8074,0.095,41.1
1,60.5415,0.1126,2.6844,2.6957,57.8413,106.86,1.7567,0.0115,123.3
1,61.4555,0.1199,2.1959,2.0434,35.3044,312.36,1.9281,0.0911,106.86
1,57.8413,0.2664,2.324,2.6288,57.8413,106.86,1.8212,0.0917,106.86
1,11.7294,0.2808,0.8352,1.0428,16.2015,41.1,1.909,0.0393,106.86
1,35.3044,0.2084,1.7319,2.4423,62.6262,131.52,1.8231,0.1839,312.36
1,60.5415,0.1415,2.6561,2.6508,60.5415,123.3,1.6699,0.1859,123.3
1,35.3044,0.1587,1.8265,2.2995,57.8413,106.86,1.7719,0.0211,312.36
1,35.3044,0.2721,1.5492,1.6882,35.3044,312.36,1.9692,0.0463,312.36
1,57.8413,0.2622,2.9612,2.9712,57.8413,106.86,1.6479,0.13,106.86
1,11.7294,0.1558,0.6937,0.707,6.8019,82.2,1.905,0.1549,106.86
1,11.7294,0.2844,0.6495,1.2323,26.1889,73.98,1.8854,0.1353,106.86
1,6.8019,0.272,0.5504,1.4946,35.3044,312.36,1.9252,0.0194,82.2
1,60.5415,0.1826,2.4884,3.1397,62.6262,131.52,1.6688,0.0354,123.3
1,6.8019,0.1412,0.7319,2.3894,57.8413,106.86,1.8307,0.1834,82.2
1,57.8413,0.2037,2.2989,1.5112,26.1889,73.98,1.7215,0.089,106.86
1,16.2015,0.2471,0.9568,2.3863,57.8413,106.86,1.8378,0.106,41.1
1,26.1889,0.141,1.391,2.3867,57.8413,106.86,1.697,0.1989,73.98
1,16.2015,0.1377,0.7977,0.709,6.8019,82.2,1.9999,0.0395,41.1
1,35.3044,0.2481,2.0344,2.4352,60.5415,123.3,1.6882,0.0417,312.36
1,35.3044,0.2628,1.8882,2.315,57.8413,106.86,1.6717,0.1547,312.36
1,11.7294,0.2345,0.8918,2.3952,62.6262,131.52,1.7506,0.095,106.86
1,61.4555,0.1951,2.6565,2.8127,62.6262,131.52,1.6707,0.2005,106.86
1,62.6262,0.1449,2.8112,2.8069,57.8413,106.86,1.8255,0.1753,131.52
1,11.7294,0.1963,0.8303,0.8059,6.8019,82.2,1.9518,0.0872,106.86
1,61.4555,0.163,2.3393,1.567,26.1889,73.98,1.7861,0.1461,106.86
1,11.7294,0.2603,0.7673,1.3502,26.1889,73.98,1.7354,0.1189,106.86
1,11.7294,0.1271,0.7102,1.5078,35.3044,312.36,1.8865,0.1819,106.86
1,62.6262,0.1378,2.6952,2.8482,60.5415,123.3,1.6854,0.1086,131.52
1,6.8019,0.2002,0.6988,0.7724,6.8019,82.2,1.9337,0.0141,82.2
1,11.7294,0.1221,0.7081,1.5074,35.3044,312.36,1.7541,0.0682,106.86
1,57.8413,0.1276,2.4897,2.8204,62.6262,131.52,1.725,0.0113,106.86
1,6.8019,0.1847,0.6076,2.4367,57.8413,106.86,1.7969,0.0671,82.2
1,26.1889,0.1935,1.2247,1.7602,35.3044,312.36,1.844,0.0803,73.98
1,35.3044,0.1106,2.264,2.3815,57.8413,106.86,1.7938,0.1954,312.36
1,11.7294,0.1281,0.7701,0.9618,16.2015,41.1,1.842,0.1013,106.86
1,11.7294,0.2677,0.8773,2.3062,57.8413,106.86,1.8197,0.1681,106.86
1,11.7294,0.2481,0.8777,2.3308,60.5415,123.3,1.6672,0.1565,106.86
1,26.1889,0.2129,1.2905,1.0501,11.7294,106.86,1.9854,0.1236,73.98
