Task ID,Task Number,Fibonacci Size,Relative Start Time (s),Task Latency (s),CPU Freq (GHz),FLOPs
28-8,8,27,1.789497,1.36513,1.3393361145833336,317810
28-7,8,28,0.849952,1.726102,1.4143379583333333,514228
28-4,8,29,0.240193,4.332925,1.4014965937500001,832039
28-2,8,31,0.03683,6.404642,1.4426048854166666,2178308
28-9,8,33,2.008843,8.608429,1.3914078124999998,5702886
28-3,8,35,0.102937,26.421943,1.44884865625,14930351
28-1,8,35,0.000287,26.379735,1.4184009583333335,14930351
29-2,8,27,0.026489,0.223721,1.4780897812500005,317810
29-4,8,30,0.184163,5.418206,1.3593756249999998,1346268
29-6,8,27,0.286039,2.081818,1.4985086562500003,317810
29-9,8,29,0.755958,1.937725,1.414777135416667,832039
29-1,8,31,0.000348,8.228865,1.4984367187500003,2178308
29-8,8,32,0.500735,12.936969,1.463998625,3524577
29-7,8,35,0.403727,26.203946,1.60821271875,14930351
29-3,8,34,0.133232,25.005444,1.4153178958333337,9227464
29-5,8,34,0.224964,24.216669,1.4010774270833337,9227464
30-3,8,25,0.10528,0.211519,1.41884121875,121392
30-8,8,26,0.619394,0.535036,1.481174510416667,196417
30-5,8,27,0.357978,0.69046,1.3689061562499998,317810
30-7,8,31,0.573603,3.384692,1.5081180624999997,2178308
30-6,8,25,0.50084,0.376025,1.417534979166666,121392
30-1,8,29,0.000252,1.815363,1.354071770833333,832039
30-9,8,26,0.887477,0.831699,1.4264872604166665,196417
30-2,8,31,0.039267,3.394085,1.3619268437500003,2178308
30-4,8,31,0.139156,4.015542,1.4781163854166663,2178308
31-4,8,27,0.097839,1.620561,1.4570110624999997,317810
31-5,8,31,0.155379,6.775146,1.4712440312499995,2178308
31-1,8,26,0.000286,0.134585,1.4380362083333331,196417
31-9,8,26,0.447001,0.842212,1.5186518958333333,196417
31-8,8,29,0.289634,3.585765,1.4947973437499997,832039
31-6,8,30,0.216444,6.074538,1.540562541666667,1346268
31-2,8,34,0.036095,10.908045,1.5923763645833335,9227464
31-7,8,32,0.243612,9.253543,1.3967833854166665,3524577
31-3,8,31,0.070012,6.910138,1.4784307604166662,2178308
32-1,8,27,0.000284,0.376157,1.494834979166666,317810
32-2,8,28,0.048368,1.299548,1.4498259999999998,514228
32-5,8,26,0.548719,1.395176,1.4379075624999997,196417
32-7,8,27,0.732399,1.53205,1.3510505104166666,317810
32-8,8,27,0.779322,0.980683,1.3927623020833333,317810
32-6,8,29,0.589525,3.706667,1.4333021458333333,832039
32-3,8,35,0.099318,10.555081,1.3806651458333332,14930351
32-4,8,30,0.170447,4.061166,1.3645626354166667,1346268
32-9,8,32,0.98822,7.202092,1.4081040937500002,3524577
33-8,8,33,0.584355,17.973057,1.400743479166667,5702886
33-3,8,28,0.116199,1.239775,1.3271480208333335,514228
33-9,8,30,0.766809,7.101009,1.4208451770833332,1346268
33-5,8,30,0.238502,7.395913,1.295474364583333,1346268
33-7,8,30,0.548075,8.269538,1.3172262395833334,1346268
33-4,8,34,0.182441,25.276794,1.4447840416666669,9227464
33-6,8,33,0.431743,22.161492,1.4202944895833334,5702886
33-1,8,33,0.000276,21.361383,1.410596083333333,5702886
33-2,8,35,0.029817,27.239192,1.4271615208333333,14930351
34-6,8,25,0.536331,0.485676,1.5526550937499999,121392
34-2,8,30,0.037857,2.290887,1.5387563645833333,1346268
34-1,8,26,0.000285,0.082279,1.392896729166666,196417
34-3,8,27,0.08262,0.517714,1.3881214166666669,317810
34-5,8,26,0.286753,0.713336,1.5089709895833332,196417
34-4,8,32,0.123678,5.128987,1.3874686354166668,3524577
34-8,8,28,0.811503,0.910874,1.5538854791666672,514228
34-7,8,35,0.738588,9.357231,1.5320132708333334,14930351
34-9,8,32,0.954429,6.995303,1.4109803854166665,3524577
35-1,8,26,0.000202,0.19164,1.4072711979166668,196417
35-4,8,28,0.118266,1.620644,1.3641546979166663,514228
35-2,8,25,0.025368,0.072363,1.4945399687500003,121392
35-5,8,25,0.164308,0.427773,1.4492623437499998,121392
35-3,8,26,0.076273,0.497058,1.4309470208333332,196417
35-6,8,27,0.243368,1.503502,1.398787989583333,317810
35-7,8,34,0.284395,10.549934,1.4282364791666666,9227464
35-9,8,30,0.583639,2.960373,1.3923997187500006,1346268
35-8,8,33,0.356305,9.569888,1.4099812708333332,5702886
36-1,8,30,0.000182,3.222104,1.410900166666667,1346268
36-2,8,25,0.018754,0.131936,1.4005663229166667,121392
36-4,8,25,0.099932,0.234901,1.3943983125000001,121392
36-5,8,26,0.155943,0.940388,1.39310540625,196417
36-9,8,31,0.701443,7.464235,1.4796031041666666,2178308
36-8,8,34,0.467356,10.7637,1.5362527395833334,9227464
36-6,8,29,0.314218,2.449316,1.42324484375,832039
36-7,8,32,0.436509,9.084009,1.3963970312499998,3524577
36-3,8,33,0.079744,9.484683,1.3960750833333337,5702886
37-2,8,26,0.037831,0.112439,1.4848070729166667,196417
37-7,8,28,0.425504,1.827603,1.6053890000000002,514228
37-8,8,26,0.487045,0.674946,1.4458183958333337,196417
37-6,8,26,0.298132,0.589988,1.5444749895833338,196417
37-9,8,33,0.522722,14.855244,1.5035772708333333,5702886
37-4,8,29,0.134359,3.771468,1.4154155208333339,832039
37-3,8,32,0.108909,10.741471,1.43197534375,3524577
37-5,8,33,0.216552,14.528883,1.4572777916666666,5702886
37-1,8,34,0.000299,15.108273,1.478838145833333,9227464
38-3,8,26,0.077191,0.168951,1.3508757083333331,196417
38-6,8,26,0.363345,0.381274,1.3550214062499997,196417
38-5,8,27,0.297288,1.054424,1.3749127604166667,317810
38-9,8,25,0.811192,0.386148,1.33992378125,121392
38-4,8,26,0.239718,0.822744,1.3950906874999998,196417
38-2,8,28,0.036974,1.493347,1.3074729583333338,514228
38-8,8,34,0.749994,15.67598,1.4219284166666664,9227464
38-1,8,35,0.00022,18.062237,1.4430535833333333,14930351
38-7,8,33,0.70909,12.741589,1.4611211458333335,5702886
39-7,8,28,0.411876,1.443022,1.3198692708333335,514228
39-8,8,28,0.502737,4.035971,1.431669447916667,514228
39-6,8,29,0.223079,4.986944,1.5215365520833337,832039
39-5,8,32,0.152011,9.498923,1.4677332604166669,3524577
39-9,8,31,0.599172,7.539805,1.498182041666667,2178308
39-4,8,30,0.096016,9.051994,1.4799266979166665,1346268
39-3,8,32,0.061533,12.375184,1.3547483958333335,3524577
39-2,8,33,0.025906,15.498427,1.3457385000000002,5702886
39-1,8,33,0.000225,15.383922,1.3551869583333334,5702886
40-5,8,25,0.772556,0.682143,1.46938265625,121392
40-9,8,29,1.454839,3.235377,1.4062620000000003,832039
40-1,8,30,0.000323,4.1201,1.3772703541666667,1346268
40-4,8,32,0.167303,11.893044,1.36679790625,3524577
40-2,8,30,0.040109,8.741636,1.4083123229166665,1346268
40-6,8,30,0.86436,7.658037,1.4655382708333333,1346268
40-7,8,35,1.06244,15.220918,1.405517927083333,14930351
40-3,8,32,0.091003,11.743052,1.3579959375000004,3524577
40-8,8,32,1.189448,12.145164,1.4396894687499997,3524577
41-7,8,27,0.922605,0.856314,1.3959917291666664,317810
41-5,8,27,0.327474,2.500961,1.4614752708333334,317810
41-6,8,28,0.520893,2.151931,1.4273142604166666,514228
41-2,8,28,0.022093,1.887567,1.4673635833333336,514228
41-1,8,30,0.000319,4.344673,1.3493993125,1346268
41-8,8,34,1.014309,12.431438,1.5146415104166673,9227464
41-3,8,29,0.123821,4.515142,1.4011430729166667,832039
41-9,8,34,1.247823,15.678719,1.579152885416667,9227464
41-4,8,34,0.159479,16.083441,1.5561008854166667,9227464
42-5,8,26,0.385317,0.491203,1.4255024166666665,196417
42-2,8,31,0.019229,4.814294,1.4218829479166668,2178308
42-8,8,32,0.740792,6.076974,1.4616575625000003,3524577
42-9,8,29,1.044142,2.679755,1.4636881666666666,832039
42-7,8,34,0.608925,8.251588,1.6480444895833335,9227464
42-6,8,27,0.568186,0.936504,1.5111343854166663,317810
42-4,8,30,0.105659,4.656155,1.3719949270833331,1346268
42-1,8,30,0.000197,4.980993,1.409526197916667,1346268
42-3,8,31,0.054808,6.98647,1.6022668333333343,2178308
43-1,8,28,0.000268,0.744668,1.5040645312499998,514228
43-6,8,29,0.240807,5.658801,1.366836864583333,832039
43-7,8,27,0.387969,1.273307,1.6137615833333332,317810
43-9,8,28,0.707093,4.665425,1.4686073541666667,514228
43-2,8,31,0.049378,7.677815,1.3373070000000005,2178308
43-8,8,35,0.621585,22.614884,1.3888568125,14930351
43-5,8,33,0.184685,15.833891,1.4596089374999999,5702886
43-3,8,33,0.074641,19.365227,1.4431776354166665,5702886
43-4,8,34,0.130609,21.328741,1.4780335104166669,9227464
44-4,8,27,0.137833,0.529234,1.4418679166666668,317810
44-5,8,34,0.234699,7.146305,1.3938825104166666,9227464
44-3,8,27,0.071497,0.779651,1.2972916250000002,317810
44-1,8,25,0.000285,0.035145,1.4194570208333337,121392
44-2,8,27,0.035477,0.277693,1.3177359270833329,317810
44-8,8,28,0.607652,1.989022,1.408567989583333,514228
44-9,8,29,0.836095,2.338393,1.4490710624999998,832039
44-6,8,31,0.362144,5.38653,1.4327856458333335,2178308
44-7,8,31,0.480387,5.866786,1.4656676874999994,2178308
45-1,8,28,0.000333,1.109147,1.3926098125,514228
